lat,lon
-23.6096965,-46.6185874
-23.5734282,-46.7318019
-23.531925,-46.681915
-23.5056436,-46.5942655
-23.5657964,-46.6829178
-23.5648805,-46.6813098
-23.5669063,-46.6880392
-23.5733376,-46.6439306
-23.5716948,-46.643503
-23.5931985,-46.6294663
-23.5524627,-46.6777042
-23.5274152,-46.6080293
-23.526845,-46.6074871
-23.5343649,-46.399689
-23.5055506,-46.5982388
-23.5400121,-46.4500874
-23.5468571,-46.652288
-23.546653,-46.6520949
-23.5520824,-46.6524347
-23.5286833,-46.61239
-23.530415,-46.614051
-23.4808205,-46.60056
-23.5255481,-46.4345687
-23.5872978,-46.6790486
-23.5687594,-46.5668889
-23.4799003,-46.5805865
-23.5834375,-46.6418609
-23.5834486,-46.6419239
-23.5832647,-46.6415657
-23.5783443,-46.6411901
-23.5825443,-46.6429446
-23.580144,-46.6439345
-23.5804038,-46.6438205
-23.5790936,-46.6421497
-23.5785902,-46.6419407
-23.4867359,-46.5791103
-23.5964985,-46.6482547
-23.5527926,-46.6454482
-23.5825377,-46.6481033
-23.5594457,-46.6804974
-23.5889776,-46.6455294
-23.5846768,-46.6466844
-23.6044977,-46.636464
-23.6061623,-46.6415406
-23.5757478,-46.6483351
-23.5441205,-46.6062107
-23.5571957,-46.6894165
-23.4947914,-46.6113053
-23.6212029,-46.6021481
-23.5622275,-46.6600729
-23.5351293,-46.622471
-23.5126223,-46.5264086
-23.5794374,-46.6444394
-23.5801307,-46.6463411
-23.5791744,-46.6444985
-23.5779231,-46.6435704
-23.5780296,-46.6426384
-23.5588939,-46.6611783
-23.5567682,-46.6586691
-23.5568564,-46.6587637
-23.5147465,-46.7161156
-23.5500752,-46.6460297
-23.5550206,-46.6882884
-23.5548993,-46.6887802
-23.4504382,-46.5723901
-23.5242943,-46.6036357
-23.5424337,-46.644194
-23.5420736,-46.6452777
-23.5429187,-46.4950024
-23.7732062,-46.7065777
-23.7730711,-46.706534
-23.7729478,-46.7064942
-23.5186067,-46.6142678
-23.5320575,-46.6492623
-23.5322332,-46.649244
-23.605945,-46.6390751
-23.6041838,-46.6372059
-23.6090454,-46.6382637
-23.532264,-46.6491781
-23.5742819,-46.6456793
-23.4080275,-46.7378861
-23.5266604,-46.607218
-23.5355012,-46.4560451
-23.4905742,-46.5798228
-23.531213,-46.6223769
-23.532792,-46.6011952
-23.533837,-46.6007251
-23.5343042,-46.6004999
-23.5362689,-46.5996458
-23.5364622,-46.5995613
-23.5366441,-46.5994698
-23.5368765,-46.5993645
-23.5374427,-46.5991093
-23.5378908,-46.5989082
-23.537777,-46.5991286
-23.5593998,-46.4834758
-23.6026944,-46.7107867
-23.530771,-46.6028436
-23.5954311,-46.6699086
-23.5952326,-46.6694466
-23.5823377,-46.680428
-23.5826168,-46.6812622
-23.5576837,-46.6356457
-23.5576858,-46.6355505
-23.5301705,-46.6751064
-23.5316804,-46.6737517
-23.5655754,-46.6511596
-23.6429865,-46.6655288
-23.6455791,-46.6642361
-23.5394125,-46.6566313
-23.4871071,-46.6048629
-23.619195,-46.650352
-23.5905124,-46.530069
-23.5651641,-46.7009351
-23.4867053,-46.6062568
-23.5108956,-46.5904
-23.5850869,-46.6798124
-23.5735702,-46.6448324
-23.6021186,-46.6832563
-23.557249,-46.6820695
-23.6015151,-46.6673344
-23.5600439,-46.6926205
-23.5658501,-46.6534196
-23.5037869,-46.7397334
-23.5565628,-46.692614
-23.5567295,-46.6925818
-23.6655101,-46.6896976
-23.5564237,-46.6636985
-23.5631649,-46.6931328
-23.4934192,-46.4440289
-23.5563886,-46.6820371
-23.5562561,-46.6750006
-23.5569396,-46.6763198
-23.5823817,-46.7631884
-23.5585451,-46.6747443
-23.558675,-46.6746873
-23.5818844,-46.7639073
-23.5606941,-46.7353664
-23.6013274,-46.6456233
-23.6015707,-46.6445022
-23.5891892,-46.7719661
-23.6252706,-46.6843332
-23.6678717,-46.7380441
-23.6721885,-46.7443022
-23.6614559,-46.7360534
-23.636108,-46.6447351
-23.6469144,-46.658639
-23.6469095,-46.6585411
-23.6469402,-46.6583708
-23.5639749,-46.6838299
-23.5315085,-46.6816988
-23.5277983,-46.7044953
-23.5272137,-46.7034864
-23.528957,-46.6788351
-23.530118,-46.679073
-23.5300137,-46.6792683
-23.5289274,-46.678945
-23.5394736,-46.6831112
-23.4879365,-46.7198587
-23.559903,-46.7299929
-23.561541,-46.6706392
-23.5559542,-46.6749939
-23.5567629,-46.6760213
-23.5590534,-46.4891169
-23.5591116,-46.4889224
-23.559093,-46.4889847
-23.5590356,-46.4893067
-23.5623317,-46.5737133
-23.5588352,-46.6747615
-23.5612135,-46.6741351
-23.5673723,-46.569646
-23.5659073,-46.5696604
-23.5664015,-46.5695196
-23.4982536,-46.5958652
-23.4788414,-46.3847102
-23.5278546,-46.6191538
-23.5318961,-46.6203235
-23.6168387,-46.6493784
-23.4973473,-46.6259674
-23.530651,-46.6156717
-23.5304136,-46.6154472
-23.5262651,-46.6120996
-23.5255186,-46.6140076
-23.5294456,-46.62898
-23.5311848,-46.6249813
-23.5299574,-46.6249823
-23.531098,-46.6247996
-23.5320201,-46.6246927
-23.5282447,-46.6274172
-23.5240961,-46.6065882
-23.5116125,-46.594137
-23.5119848,-46.5944322
-23.5268874,-46.611747
-23.5291226,-46.613838
-23.5180977,-46.5936258
-23.5222621,-46.5930087
-23.5266567,-46.6188468
-23.519813,-46.5148815
-23.523375,-46.5132879
-23.5581082,-46.6638099
-23.495929,-46.4498903
-23.4966866,-46.441999
-23.4999819,-46.6122378
-23.499652,-46.6123468
-23.4999221,-46.6062194
-23.5421747,-46.6062125
-23.5416279,-46.6047368
-23.5265066,-46.6061071
-23.5264203,-46.6064511
-23.5329353,-46.6135624
-23.5621432,-46.6389122
-23.5594552,-46.6378987
-23.5361573,-46.6023226
-23.5276733,-46.6102688
-23.5393625,-46.6094176
-23.5398128,-46.6102968
-23.6598997,-46.7556202
-23.5147318,-46.7173897
-23.5141956,-46.7211394
-23.5150175,-46.7165956
-23.5095077,-46.5928433
-23.5065306,-46.5962705
-23.6274183,-46.5985068
-23.6222984,-46.7550042
-23.6221976,-46.7548714
-23.5927566,-46.6841592
-23.4967958,-46.5793786
-23.5107439,-46.5867976
-23.5138551,-46.5864022
-23.6230318,-46.7377016
-23.6308006,-46.7357138
-23.6240378,-46.7341367
-23.6243955,-46.7341508
-23.5126402,-46.5910019
-23.5131081,-46.5899497
-23.5210505,-46.5920448
-23.5234835,-46.6169889
-23.53552,-46.6102894
-23.534348,-46.6116486
-23.5344554,-46.6117574
-23.5383131,-46.608382
-23.5539942,-46.6172248
-23.4892781,-46.5846637
-23.5345371,-46.6026904
-23.5054236,-46.6042772
-23.5326691,-46.6215408
-23.5342186,-46.6210462
-23.56649,-46.6891261
-23.5334426,-46.6295824
-23.5336192,-46.6286106
-23.5152455,-46.6083673
-23.5145135,-46.6100701
-23.5142946,-46.6105314
-23.5141567,-46.6108642
-23.5178118,-46.6102971
-23.533126,-46.6472867
-23.5977751,-46.6654267
-23.5480211,-46.6189578
-23.4948169,-46.5842441
-23.4864196,-46.5780309
-23.4865366,-46.5783518
-23.5378451,-46.5840364
-23.5305469,-46.6208933
-23.6335568,-46.632254
-23.5316252,-46.621438
-23.5383497,-46.6014356
-23.5387233,-46.6040144
-23.5388816,-46.60499
-23.5387886,-46.6042269
-23.5354801,-46.616705
-23.5307178,-46.6243232
-23.5294582,-46.6239481
-23.5308833,-46.6242993
-23.5310282,-46.6250038
-23.533752,-46.622083
